Soundfile,Left time (sec),Right time (sec),Species,
ICLISTENHF1251_20140101T083159.812Z.wav,234.444,235.1674,FW,
ICLISTENHF1251_20140101T084159.814Z.wav,82.01273,83.19826,HB,
ICLISTENHF1251_20140101T085159.816Z.wav,158.4494,159.3134,HB,
ICLISTENHF1251_20140101T090159.818Z.wav,199.6115,200.5358,HB,
ICLISTENHF1251_20140101T092159.823Z.wav,28.36297,29.46813,HB,
ICLISTENHF1251_20140101T092159.823Z.wav,277.8767,278.6202,FW,
ICLISTENHF1251_20140101T093159.825Z.wav,12.61889,13.86469,HB,
ICLISTENHF1251_20140101T093159.825Z.wav,77.58204,79.0288,FW,
ICLISTENHF1251_20140101T104159.839Z.wav,274.7823,276.1486,HB,
ICLISTENHF1251_20140101T105159.841Z.wav,241.8687,243.1547,HB,
ICLISTENHF1251_20140101T110159.843Z.wav,57.39786,59.06564,HB,
ICLISTENHF1251_20140101T111159.845Z.wav,4.70193,6.16879,HB,
ICLISTENHF1251_20140101T112159.847Z.wav,26.67448,28.06095,HB,
ICLISTENHF1251_20140101T112159.847Z.wav,246.73,247.0722,FW,
ICLISTENHF1251_20140101T113159.850Z.wav,249.8098,251.0076,HB,
ICLISTENHF1251_20140101T113159.850Z.wav,259.4866,260.1711,FW,
ICLISTENHF1251_20140101T114159.851Z.wav,10.96958,13.0038,FW,
ICLISTENHF1251_20140101T114159.851Z.wav,277.5285,278.3079,WSD,
ICLISTENHF1251_20140101T114159.851Z.wav,277.6806,278.5931,HB,
ICLISTENHF1251_20140101T115159.853Z.wav,9.46768,10.93156,HB,
ICLISTENHF1251_20140101T115159.853Z.wav,163.0038,164.0874,WSD,
ICLISTENHF1251_20140101T120159.855Z.wav,1.74905,2.31938,WSD,
ICLISTENHF1251_20140101T120159.855Z.wav,92.24335,93.40304,HB,
ICLISTENHF1251_20140101T120159.855Z.wav,101.3117,102.2623,FW,
ICLISTENHF1251_20140101T121159.857Z.wav,63.87832,64.63878,FW,
ICLISTENHF1251_20140101T121159.857Z.wav,82.20532,83.36502,WSD,
ICLISTENHF1251_20140101T121159.857Z.wav,88.9924,90.11407,HB,
ICLISTENHF1251_20140101T122159.859Z.wav,123.5963,124.5407,WSD,
ICLISTENHF1251_20140101T122159.859Z.wav,198.7571,200.0029,HB,
ICLISTENHF1251_20140101T122159.859Z.wav,224.9424,225.7864,FW,
ICLISTENHF1251_20140101T123159.862Z.wav,38.74078,40.10716,HB,
ICLISTENHF1251_20140101T123159.862Z.wav,68.0777,68.45947,FW,
ICLISTENHF1251_20140101T124159.864Z.wav,61.69792,62.24045,UN|WSD,
ICLISTENHF1251_20140101T125159.866Z.wav,33.74748,34.75218,HB,
ICLISTENHF1251_20140101T125159.866Z.wav,281.574,281.8955,FW,
ICLISTENHF1251_20140101T130159.867Z.wav,296.5639,297.1265,UN|WSD,
ICLISTENHF1251_20140101T130159.867Z.wav,297.1265,297.6289,HB,
ICLISTENHF1251_20140101T131159.869Z.wav,69.76557,70.22772,FW,
ICLISTENHF1251_20140101T131159.869Z.wav,202.8968,203.4996,HB,
ICLISTENHF1251_20140101T132159.871Z.wav,39.69524,40.86068,FW,
ICLISTENHF1251_20140101T132159.871Z.wav,247.7963,248.9417,HB,
ICLISTENHF1251_20140101T133159.873Z.wav,15.11051,15.67314,HB,
ICLISTENHF1251_20140101T133159.873Z.wav,263.2786,263.6202,FW,
ICLISTENHF1251_20140101T134159.875Z.wav,66.33958,67.5452,HB,
ICLISTENHF1251_20140101T134159.875Z.wav,76.17548,76.53717,FW,
ICLISTENHF1251_20140101T135159.877Z.wav,3.59679,3.97857,FW,
ICLISTENHF1251_20140101T135159.877Z.wav,101.4936,102.7595,HB,
ICLISTENHF1251_20140101T140159.879Z.wav,10.24782,10.54923,FW,
ICLISTENHF1251_20140101T140159.879Z.wav,97.54521,98.63027,HB,
ICLISTENHF1251_20140101T141159.881Z.wav,15.75352,16.99933,FW,
ICLISTENHF1251_20140101T141159.881Z.wav,241.5773,242.4413,HB,
ICLISTENHF1251_20140101T142159.883Z.wav,20.70663,21.40991,FW,
ICLISTENHF1251_20140101T142159.883Z.wav,34.26993,34.97321,HB,
ICLISTENHF1251_20140101T142159.883Z.wav,285.6329,286.0147,UN,
ICLISTENHF1251_20140101T143159.885Z.wav,56.18218,57.64903,HB,
ICLISTENHF1251_20140101T143159.885Z.wav,94.1795,95.08372,FW,
ICLISTENHF1251_20140101T144159.887Z.wav,6.93234,8.47957,FW,
ICLISTENHF1251_20140101T144159.887Z.wav,106.1955,107.7026,HB,
ICLISTENHF1251_20140101T145159.889Z.wav,5.46551,6.53048,HB,
ICLISTENHF1251_20140101T145159.889Z.wav,19.10917,19.85264,FW,
ICLISTENHF1251_20140101T145159.889Z.wav,76.37642,77.58204,UN|WSD|K,
ICLISTENHF1251_20140101T150159.891Z.wav,8.43937,9.38379,FW,
ICLISTENHF1251_20140101T151159.892Z.wav,9.82585,10.52914,FW,
ICLISTENHF1251_20140101T152159.894Z.wav,95.02344,95.48559,FW,
ICLISTENHF1251_20140101T153159.896Z.wav,79.501,80.46551,FW,
ICLISTENHF1251_20140101T154159.898Z.wav,35.61621,36.68117,FW,
ICLISTENHF1251_20140101T155159.900Z.wav,9.32351,9.84595,FW,
ICLISTENHF1251_20140101T155159.900Z.wav,22.19357,23.25853,HB,
ICLISTENHF1251_20140101T161159.904Z.wav,4.68185,5.48559,FW,
ICLISTENHF1251_20140101T161159.904Z.wav,130.6898,131.6142,HB,
ICLISTENHF1251_20140101T162159.906Z.wav,78.72739,79.10917,FW,
ICLISTENHF1251_20140101T163159.908Z.wav,6.51037,7.6959,UN,
ICLISTENHF1251_20140101T170159.914Z.wav,108.9182,109.7421,HB,
ICLISTENHF1251_20140101T173159.920Z.wav,220.1473,221.0716,FW,
ICLISTENHF1251_20140101T180159.925Z.wav,222.3576,223.1413,FW,
ICLISTENHF1251_20140101T181159.927Z.wav,5.30476,6.49029,HB,
ICLISTENHF1251_20140101T182159.929Z.wav,69.0221,70.0067,HB,
ICLISTENHF1251_20140101T182159.929Z.wav,73.02076,73.68386,FW,
ICLISTENHF1251_20140101T183159.930Z.wav,13.36236,13.90489,FW,
ICLISTENHF1251_20140101T183159.930Z.wav,120.7233,122.1701,HB,
ICLISTENHF1251_20140101T184159.931Z.wav,30.87408,32.68252,HB,
ICLISTENHF1251_20140101T185159.932Z.wav,16.4166,17.28064,HB,
ICLISTENHF1251_20140101T190159.932Z.wav,12.05626,13.2217,HB,
ICLISTENHF1251_20140101T191159.934Z.wav,51.47019,52.67582,HB,
ICLISTENHF1251_20140101T193159.935Z.wav,230.6463,231.9926,HB,
ICLISTENHF1251_20140101T201159.940Z.wav,67.59545,68.88145,HB,
ICLISTENHF1251_20140101T201159.940Z.wav,244.3904,244.8928,FW,
ICLISTENHF1251_20140101T202159.942Z.wav,9.30342,10.46885,HB,
ICLISTENHF1251_20140101T202159.942Z.wav,224.2464,225.874,FW,
ICLISTENHF1251_20140101T203159.944Z.wav,87.77964,88.36235,FW,
ICLISTENHF1251_20140101T203159.944Z.wav,293.1681,294.9564,HB,
ICLISTENHF1251_20140101T204159.946Z.wav,20.00335,21.00804,HB,
ICLISTENHF1251_20140101T205159.948Z.wav,5.28465,6.61085,HB,
ICLISTENHF1251_20140101T210159.949Z.wav,251.152,252.1366,FW,
ICLISTENHF1251_20140101T211159.951Z.wav,25.26792,26.11186,HB,
ICLISTENHF1251_20140101T212159.952Z.wav,80.67649,81.68117,FW,
ICLISTENHF1251_20140101T212159.952Z.wav,94.21969,96.20898,HB,
ICLISTENHF1251_20140101T212159.952Z.wav,225.874,227.5016,HB,
ICLISTENHF1251_20140101T213159.953Z.wav,109.1091,110.5358,HB,
ICLISTENHF1251_20140101T214159.954Z.wav,28.42264,29.92966,HB,
ICLISTENHF1251_20140101T215159.955Z.wav,2.5921,4.62157,HB,
ICLISTENHF1251_20140101T215159.955Z.wav,17.88345,18.60683,FW,
ICLISTENHF1251_20140101T220159.957Z.wav,6.89216,7.95713,HB,
ICLISTENHF1251_20140101T220159.957Z.wav,88.98526,90.4722,FW,
ICLISTENHF1251_20140101T221159.958Z.wav,2.87341,4.40054,HB,
ICLISTENHF1251_20140101T221159.958Z.wav,272.566,273.7114,FW,
ICLISTENHF1251_20140101T222159.959Z.wav,7.53516,9.18285,HB,
ICLISTENHF1251_20140101T222159.959Z.wav,211.4768,212.9638,FW,
ICLISTENHF1251_20140101T223159.960Z.wav,19.09913,20.70663,HB,
ICLISTENHF1251_20140101T224159.961Z.wav,15.59276,16.65774,HB,
ICLISTENHF1251_20140101T224159.961Z.wav,27.7495,28.77428,FW,
ICLISTENHF1251_20140101T225159.962Z.wav,9.64501,10.60951,HB,
ICLISTENHF1251_20140101T230159.963Z.wav,2.5921,3.5566,HB,
ICLISTENHF1251_20140101T230159.963Z.wav,60.643,61.44674,FW,
ICLISTENHF1251_20140101T231159.964Z.wav,57.13664,59.10582,HB,
ICLISTENHF1251_20140101T231159.964Z.wav,134.6885,135.5324,FW,
ICLISTENHF1251_20140101T232159.965Z.wav,12.15672,13.78433,HB,
ICLISTENHF1251_20140101T233159.967Z.wav,8.0777,9.00201,HB,
ICLISTENHF1251_20140101T234159.969Z.wav,7.25385,8.33891,HB,
ICLISTENHF1251_20140101T235159.972Z.wav,32.572,33.91829,HB,
ICLISTENHF1251_20140102T000159.975Z.wav,6.51037,7.6959,HB,
ICLISTENHF1251_20140102T000159.975Z.wav,36.38982,37.03282,FW,
ICLISTENHF1251_20140102T001159.977Z.wav,20.12391,22.49498,HB,
ICLISTENHF1251_20140102T001159.977Z.wav,141.1085,142.0931,FW,
ICLISTENHF1251_20140102T002159.980Z.wav,15.87408,16.59744,FW,
ICLISTENHF1251_20140102T002159.980Z.wav,35.39518,36.25921,HB,
ICLISTENHF1251_20140102T003159.982Z.wav,34.12926,34.87273,FW,
ICLISTENHF1251_20140102T003159.982Z.wav,42.58875,43.73409,HB,
ICLISTENHF1251_20140102T004159.985Z.wav,3.59679,4.72203,FW,
ICLISTENHF1251_20140102T004159.985Z.wav,76.286,77.51171,HB,
ICLISTENHF1251_20140102T013159.996Z.wav,52.2639,52.38446,UN|WSD,
ICLISTENHF1251_20140102T013159.996Z.wav,229.1594,229.8024,FW,
ICLISTENHF1251_20140102T014159.998Z.wav,18.89819,19.54119,FW,
ICLISTENHF1251_20140102T014159.998Z.wav,19.30007,20.90756,HB,
ICLISTENHF1251_20140102T014159.998Z.wav,30.44206,30.72338,WSD,
ICLISTENHF1251_20140102T015200.000Z.wav,4.501,6.34963,HB,
ICLISTENHF1251_20140102T015200.000Z.wav,19.66175,19.8426,WSD,
ICLISTENHF1251_20140102T015200.000Z.wav,22.13328,23.23845,FW,
ICLISTENHF1251_20140102T020200.002Z.wav,21.67113,21.91226,WSD,
ICLISTENHF1251_20140102T020200.002Z.wav,24.70529,25.26792,FW,
ICLISTENHF1251_20140102T020200.002Z.wav,71.69457,72.73945,HB,
ICLISTENHF1251_20140102T021200.004Z.wav,7.4146,8.23845,FW,
ICLISTENHF1251_20140102T021200.004Z.wav,84.15271,84.29337,WSD,
ICLISTENHF1251_20140102T021200.004Z.wav,143.9819,144.8057,HB,
ICLISTENHF1251_20140102T022200.007Z.wav,75.22665,76.21123,HB,
ICLISTENHF1251_20140102T022200.007Z.wav,113.1882,113.9316,FW,
ICLISTENHF1251_20140102T023200.009Z.wav,13.98525,15.23108,FW,
ICLISTENHF1251_20140102T023200.009Z.wav,160.3683,161.5137,HB,
ICLISTENHF1251_20140102T023200.009Z.wav,264.1426,264.8459,WSD,
ICLISTENHF1251_20140102T024200.011Z.wav,13.5231,14.62827,FW,
ICLISTENHF1251_20140102T024200.011Z.wav,73.28198,74.92967,HB,
ICLISTENHF1251_20140102T024200.011Z.wav,158.6202,158.9819,WSD,
ICLISTENHF1251_20140102T025200.013Z.wav,36.56061,37.48492,FW,
ICLISTENHF1251_20140102T025200.013Z.wav,116.6342,117.2371,WSD,
ICLISTENHF1251_20140102T025200.013Z.wav,154.4206,155.807,HB,
ICLISTENHF1251_20140102T030200.015Z.wav,10.97119,12.17683,FW,
ICLISTENHF1251_20140102T030200.015Z.wav,67.31413,69.30342,HB,
ICLISTENHF1251_20140102T030200.015Z.wav,280.6697,280.931,WSD,
ICLISTENHF1251_20140102T031200.018Z.wav,10.2896,11.29429,WSD,
ICLISTENHF1251_20140102T031200.018Z.wav,16.4166,17.68252,FW,
ICLISTENHF1251_20140102T031200.018Z.wav,96.84352,98.04915,HB,
ICLISTENHF1251_20140102T032200.020Z.wav,5.98794,7.31413,FW,
ICLISTENHF1251_20140102T032200.020Z.wav,9.6651,10.68989,HB,
ICLISTENHF1251_20140102T032200.020Z.wav,30.41191,30.77361,WSD,
ICLISTENHF1251_20140102T033200.022Z.wav,2.10985,3.25518,FW,
ICLISTENHF1251_20140102T033200.022Z.wav,6.71132,7.83657,HB,
ICLISTENHF1251_20140102T033200.022Z.wav,208.2819,208.8647,WSD,
ICLISTENHF1251_20140102T034200.024Z.wav,16.1152,16.49699,WSD,
ICLISTENHF1251_20140102T034200.024Z.wav,93.14468,94.49095,HB,
ICLISTENHF1251_20140102T034200.024Z.wav,102.1466,103.935,FW,
ICLISTENHF1251_20140102T034200.024Z.wav,168.7273,169.4105,WSD,
ICLISTENHF1251_20140102T035200.026Z.wav,3.41594,4.70193,HB,
ICLISTENHF1251_20140102T035200.026Z.wav,80.38513,81.71132,FW,
ICLISTENHF1251_20140102T035200.026Z.wav,146.8777,147.1188,WSD,
ICLISTENHF1251_20140102T040200.028Z.wav,5.58607,6.67112,FW,
ICLISTENHF1251_20140102T040200.028Z.wav,10.93101,12.27729,HB,
ICLISTENHF1251_20140102T041200.030Z.wav,28.94508,30.07033,FW,
ICLISTENHF1251_20140102T041200.030Z.wav,40.58941,41.59411,HB,
ICLISTENHF1251_20140102T041200.030Z.wav,168.7675,168.9484,UN|WSD,
ICLISTENHF1251_20140102T042200.032Z.wav,15.59276,16.87877,FW,
ICLISTENHF1251_20140102T042200.032Z.wav,19.08908,20.71668,HB,
ICLISTENHF1251_20140102T043200.034Z.wav,10.50904,11.93569,FW,
ICLISTENHF1251_20140102T043200.034Z.wav,40.99129,42.05626,HB,
ICLISTENHF1251_20140102T044200.036Z.wav,2.51171,4.21968,FW,
ICLISTENHF1251_20140102T044200.036Z.wav,47.26055,49.06898,HB,
ICLISTENHF1251_20140102T044200.036Z.wav,87.49833,88.06095,UN,
ICLISTENHF1251_20140102T044200.036Z.wav,272.4213,272.7227,WSD,
ICLISTENHF1251_20140102T045200.038Z.wav,29.60816,30.73342,FW,
ICLISTENHF1251_20140102T045200.038Z.wav,40.27796,42.91025,HB,
ICLISTENHF1251_20140102T045200.038Z.wav,280.4487,280.8104,WSD,
ICLISTENHF1251_20140102T050200.041Z.wav,14.1862,15.31145,FW,
ICLISTENHF1251_20140102T050200.041Z.wav,28.08104,28.84461,UN|WSD,
ICLISTENHF1251_20140102T050200.041Z.wav,32.96383,34.18955,HB,
ICLISTENHF1251_20140102T051200.043Z.wav,3.85799,5.48559,HB,
ICLISTENHF1251_20140102T051200.043Z.wav,16.27595,17.38111,FW,
ICLISTENHF1251_20140102T051200.043Z.wav,125.6965,126.1587,WSD,
ICLISTENHF1251_20140102T052200.045Z.wav,3.39585,4.48091,FW,
ICLISTENHF1251_20140102T052200.045Z.wav,16.1353,17.03951,HB,
ICLISTENHF1251_20140102T052200.045Z.wav,108.5465,109.1895,WSD,
ICLISTENHF1251_20140102T053200.047Z.wav,17.80308,19.10917,FW,
ICLISTENHF1251_20140102T053200.047Z.wav,19.3503,19.73208,WSD,
ICLISTENHF1251_20140102T053200.047Z.wav,54.29337,56.02143,HB,
ICLISTENHF1251_20140102T054200.049Z.wav,4.38043,5.18418,WSD,
ICLISTENHF1251_20140102T054200.049Z.wav,9.74547,10.85064,FW,
ICLISTENHF1251_20140102T054200.049Z.wav,11.01139,12.29739,HB,
ICLISTENHF1251_20140102T055200.051Z.wav,10.93101,12.01608,FW,
ICLISTENHF1251_20140102T055200.051Z.wav,11.37307,13.5231,HB,
ICLISTENHF1251_20140102T055200.051Z.wav,16.69791,17.20027,WSD,
ICLISTENHF1251_20140102T060200.052Z.wav,7.79638,8.3992,WSD,
ICLISTENHF1251_20140102T060200.052Z.wav,11.15204,12.39786,HB,
ICLISTENHF1251_20140102T062200.055Z.wav,285.7133,285.9343,WSD,
ICLISTENHF1251_20140102T063200.057Z.wav,17.0797,18.7073,HB,
ICLISTENHF1251_20140102T063200.057Z.wav,125.6564,126.018,UN|WSD,
ICLISTENHF1251_20140102T063200.057Z.wav,270.4879,271.151,UN|FW,
ICLISTENHF1251_20140102T064200.058Z.wav,23.86135,27.01608,HB,
ICLISTENHF1251_20140102T064200.058Z.wav,295.499,296.4032,FW,
ICLISTENHF1251_20140102T065200.060Z.wav,2.572,2.93369,WSD,
ICLISTENHF1251_20140102T065200.060Z.wav,13.64367,15.69324,HB,
ICLISTENHF1251_20140102T070200.062Z.wav,91.37642,92.36102,HB,
ICLISTENHF1251_20140102T070200.062Z.wav,102.5987,103.2618,FW,
ICLISTENHF1251_20140102T070200.062Z.wav,111.9424,112.1835,WSD,
ICLISTENHF1251_20140102T071200.064Z.wav,6.55056,8.66042,HB,
ICLISTENHF1251_20140102T071200.064Z.wav,76.70797,76.82853,WSD,
ICLISTENHF1251_20140102T073200.068Z.wav,13.74413,14.32685,WSD,
ICLISTENHF1251_20140102T073200.068Z.wav,63.99866,65.90757,HB,
ICLISTENHF1251_20140102T074200.070Z.wav,54.38379,54.56464,WSD,
ICLISTENHF1251_20140102T074200.070Z.wav,64.24983,66.11855,HB,
ICLISTENHF1251_20140102T075200.072Z.wav,25.22773,26.73476,HB,
ICLISTENHF1251_20140102T075200.072Z.wav,29.5077,29.62826,WSD,
ICLISTENHF1251_20140102T080200.074Z.wav,21.69123,23.72069,HB,
ICLISTENHF1251_20140102T080200.074Z.wav,34.02879,34.49096,WSD,
ICLISTENHF1251_20140102T080200.074Z.wav,298.071,299.0756,FW,
ICLISTENHF1251_20140102T081200.076Z.wav,6.69123,8.31882,HB,
ICLISTENHF1251_20140102T081200.076Z.wav,9.3436,10.70998,FW,
ICLISTENHF1251_20140102T081200.076Z.wav,24.73543,24.99665,WSD,
ICLISTENHF1251_20140102T082200.078Z.wav,11.67448,12.88011,FW,
ICLISTENHF1251_20140102T082200.078Z.wav,39.28332,40.46885,HB,
ICLISTENHF1251_20140102T082200.078Z.wav,124.9531,125.2344,WSD,
ICLISTENHF1251_20140102T083200.080Z.wav,8.49967,10.14735,HB,
ICLISTENHF1251_20140102T083200.080Z.wav,11.21232,12.51842,FW,
ICLISTENHF1251_20140102T083200.080Z.wav,70.60951,70.99129,WSD,
ICLISTENHF1251_20140102T084200.082Z.wav,32.2505,34.94307,HB,
ICLISTENHF1251_20140102T084200.082Z.wav,32.65238,32.87341,WSD,
ICLISTENHF1251_20140102T084200.082Z.wav,40.41862,41.62425,FW,
ICLISTENHF1251_20140102T085200.084Z.wav,12.11654,13.38245,FW,
ICLISTENHF1251_20140102T085200.084Z.wav,23.33891,24.48426,HB,
ICLISTENHF1251_20140102T085200.084Z.wav,142.6557,142.9571,WSD,
ICLISTENHF1251_20140102T090200.086Z.wav,13.14133,15.29136,HB,
ICLISTENHF1251_20140102T090200.086Z.wav,13.80442,14.06564,WSD,
ICLISTENHF1251_20140102T090200.086Z.wav,127.4949,128.801,FW,
